"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\addresses.js", "JavaScript", 0, -90, 0, 0, 0, 0, 0, -6, -12, -108
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\charger.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, -4, -11, -104
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\orders.js", "JavaScript", 0, -129, 0, 0, 0, 0, 0, -2, -19, -150
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\products.js", "JavaScript", 0, -132, 0, 0, 0, 0, 0, 0, -5, -137
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\reviews.js", "JavaScript", 0, -95, 0, 0, 0, 0, 0, -1, -17, -113
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\apis\users.js", "JavaScript", 0, -104, 0, 0, 0, 0, 0, 0, -14, -118
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\index.js", "JavaScript", 0, -55, 0, 0, 0, 0, 0, 0, -13, -68
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\package-lock.json", "JSON", -2723, 0, 0, 0, 0, 0, 0, 0, -1, -2724
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\package.json", "JSON", -36, 0, 0, 0, 0, 0, 0, 0, -1, -37
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\sql\data.sql", "SQL", 0, 0, 0, 0, 0, 0, -376, 0, -7, -383
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\sql\database.sql", "SQL", 0, 0, 0, 0, 0, 0, -230, 0, -13, -243
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\sql\deleted_tables.sql", "SQL", 0, 0, 0, 0, 0, 0, -13, 0, 0, -13
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\sql\triggers.sql", "SQL", 0, 0, 0, 0, 0, 0, -90, 0, -12, -102
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\backend\vercel.json", "JSON", -15, 0, 0, 0, 0, 0, 0, 0, 0, -15
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\.VSCodeCounter\2024-06-20_21-32-59\details.md", "Markdown", 0, 0, 105, 0, 0, 0, 0, 0, 6, 111
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\.VSCodeCounter\2024-06-20_21-32-59\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\.VSCodeCounter\2024-06-20_21-32-59\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\.VSCodeCounter\2024-06-20_21-32-59\results.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\.VSCodeCounter\2024-06-20_21-32-59\results.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test01_Register.cy.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test02_Login.cy.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test03_SearchFilter.cy.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 12, 27
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test04_SearchProduct.cy.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test05_AddToCardProduct.cy.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 12, 30
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test06_ChangePassword.cy.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 15, 37
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test07_ShowProfile.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test08_AddAddress.cy.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 13, 42
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test09_EditAddress.cy.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 18, 54
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\cypress\e2e\Test10_DeleteAddress.cy.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 14, 33
